Vehicle_ID,Lane,Frame,Timestamp
6,3,1,0.0
5,3,1,0.0
4,3,1,0.0
3,3,1,0.0
2,3,1,0.0
1,3,1,0.0
7,3,2,0.033
10,3,11,0.333
9,3,11,0.333
3,2,13,0.4
11,3,14,0.433
15,3,22,0.7000000000000001
14,3,22,0.7000000000000001
3,1,22,0.7000000000000001
18,3,31,1.0
26,3,40,1.3
27,3,41,1.333
29,3,42,1.367
32,3,44,1.433
28,3,45,1.467
31,3,46,1.5
33,3,48,1.567
35,2,58,1.9000000000000001
33,2,61,2.0
36,3,64,2.1
39,2,65,2.133
38,2,65,2.133
41,3,67,2.2
38,1,69,2.267
46,3,79,2.6
44,3,79,2.6
45,3,81,2.6670000000000003
48,3,84,2.767
50,3,91,3.0
52,3,97,3.2
53,3,98,3.233
50,2,103,3.4
56,3,105,3.467
57,3,107,3.533
50,1,109,3.6
60,3,111,3.6670000000000003
62,3,112,3.7
61,3,113,3.733
65,3,124,4.1
69,3,125,4.133
72,3,129,4.267
75,3,135,4.4670000000000005
76,3,137,4.533
78,3,139,4.6000000000000005
86,3,155,5.133
85,3,156,5.167
87,3,159,5.267
18,2,165,5.466
94,3,173,5.7330000000000005
98,3,181,6.0
99,3,189,6.266
102,3,192,6.3660000000000005
105,3,193,6.4
109,3,200,6.633
114,3,205,6.8
110,3,205,6.8
115,3,206,6.833
109,2,210,6.966
119,3,217,7.2
120,3,221,7.333
122,3,224,7.433
124,3,228,7.566
123,3,228,7.566
115,2,231,7.666
127,3,236,7.833
131,3,237,7.8660000000000005
134,3,239,7.933
135,3,241,8.0
136,3,242,8.033
144,3,247,8.2
141,3,247,8.2
145,3,249,8.266
151,3,254,8.433
150,3,254,8.433
154,3,257,8.533
156,3,258,8.566
158,3,259,8.6
159,3,260,8.633
160,3,263,8.733
162,3,265,8.8
151,2,267,8.866
164,3,269,8.933
168,3,271,9.0
171,3,276,9.166
176,3,282,9.366
176,2,286,9.5
179,2,291,9.666
177,3,291,9.666
181,3,294,9.766
176,1,296,9.833
185,3,302,10.033
186,3,308,10.233
188,3,314,10.433
191,3,320,10.633
201,3,333,11.067
205,3,335,11.134
204,3,335,11.134
203,3,335,11.134
135,2,339,11.267
208,2,341,11.334
216,3,347,11.534
215,3,347,11.534
217,3,349,11.6
208,1,349,11.6
219,3,351,11.667
223,3,354,11.767
221,3,354,11.767
228,3,357,11.867
227,3,357,11.867
231,3,361,12.0
238,3,364,12.1
240,3,366,12.167
234,3,366,12.167
241,3,368,12.234
244,3,372,12.367
245,3,374,12.434000000000001
